id_pessoa,id_bc,id_emprestimo,idade_pessoa,salario_pessoa,situacao_propriedade_pessoa,tempo_trabalhado_pessoa,foi_inadimplente_bc,tempo_primeira_solicitacao_credito_bc,motivo_emprestimo,pontuacao_emprestimo,valor_emprestimo,taxa_juros_emprestimo,possibilidade_inadimplencia,porcentagem_salario_emprestimo
xvNktW0Q-LEHn,O95yHagc-gEqS,wG45D0XY-pWES,21.0,56000.0,Aluguel,5.0,S,4.0,Melhora do lar,E,15000.0,16.0,1.0,0.27
8dTha3or-WOoA,RuDdNEGO-hrOJ,nYbKxaHZ-aMWj,36.0,61000.0,Hipoteca,2.0,N,14.0,Empreendimento,B,10000.0,10.25,0.0,0.16
I4AMEbZ4-jdQd,ALSPdpcy-6MNI,GiT1qn1l-qAAt,27.0,31200.0,Aluguel,2.0,N,5.0,Médico,A,9400.0,6.91,0.0,0.3
047HzPzb-NBkZ,H1Lk1JZE-HnyT,CXiuvUaE-YlFx,,100000.0,Hipoteca,,N,9.0,Pessoal,D,9000.0,15.37,1.0,0.31
nd6m4ZlM-D1nP,Z9wlUurJ-38WE,DbBINNCo-UfO5,23.0,52692.0,Aluguel,4.0,S,4.0,Médico,C,3500.0,12.23,0.0,0.07
G1FzUw5f-iL1i,pcbLyDX0-UmWu,EddAPnNU-7l7U,27.0,105600.0,Hipoteca,0.0,N,6.0,Pagamento de débitos,A,10000.0,7.29,0.0,0.09
liS4sIRb-Wqex,uQ8hgJd1-Obkr,r6Y4r4Kv-J0sH,24.0,50000.0,Aluguel,2.0,S,2.0,Educativo,C,5000.0,11.03,0.0,0.1
nFBzTFjJ-NNOK,RL8XxSB7-wsPB,R81qwdno-6Efs,33.0,5035.0,Aluguel,17.0,N,7.0,Educativo,C,13250.0,16.89,,0.38
thiPghfK-ED56,HlMGkptH-pvFI,5eZ4OW1c-tZq7,22.0,45900.0,Hipoteca,1.0,N,8.0,,,18000.0,11.11,0.0,0.19
6HWJ5JU7-zh5k,bYIJShkT-G9pI,lemlTBlU-Wygb,31.0,41004.0,Hipoteca,5.0,N,5.0,Pagamento de débitos,A,4000.0,,0.0,0.1
tZc1TPhm-rO1J,w0haszGn-AYYe,KTYi1pmL-9ep5,29.0,55000.0,Aluguel,0.0,S,8.0,Pessoal,D,8500.0,16.29,1.0,0.15
AssRr8oe-gsI4,TrfiMlBq-kIFa,oYYQPvLB-En9j,34.0,35000.0,Própria,2.0,N,8.0,Educativo,C,2000.0,13.99,0.0,0.06
WN43Fgwo-06Pa,pof9XgAT-JLvU,RFFaQnUX-1dvB,24.0,36000.0,Aluguel,3.0,N,3.0,Educativo,D,5300.0,15.28,0.0,0.15
zW1tBPkl-PeAz,90lLyxc9-g9I7,bs4WdEKA-vjXs,24.0,54000.0,Hipoteca,9.0,N,4.0,Médico,A,8525.0,8.59,0.0,0.16
ACyNRoQz-yJSz,e49O7T1w-AXxM,nPXPDPkE-bLyH,23.0,14000.0,Aluguel,2.0,N,2.0,Educativo,D,2300.0,15.33,1.0,0.16
HyAGvhOs-nMu1,vJxD7mfT-4rCU,7ZFn4xIj-qilg,24.0,48000.0,Outro,5.0,N,4.0,Empreendimento,B,7800.0,11.89,0.0,0.16
yupgDAAC-tSBm,bbhvYENS-zz5I,l5GX7STh-TCRN,22.0,60000.0,Hipoteca,6.0,N,2.0,Médico,A,6125.0,6.17,0.0,0.1
Lrw86z5Q-8Pl3,DpeCJjIT-jgbz,rd7wczqG-cKAp,25.0,50400.0,Própria,0.0,N,8.0,,,6000.0,11.22,0.0,0.12
3gxyEzDN-xg7A,WOMcJXyz-Qbyt,l9dJQlqX-OB9k,27.0,120000.0,Hipoteca,4.0,N,6.0,Pagamento de débitos,A,8400.0,7.14,0.0,0.07
UxzMeRxb-YBLP,pHJnE9IH-Jsl9,NZUC4aUM-8HwA,22.0,82000.0,Aluguel,2.0,N,2.0,Educativo,B,1600.0,11.89,0.0,0.02
OwAuEfA5-HD3R,1fh8ZjRs-UUdj,1yHs4Y6i-fcTm,24.0,30000.0,Aluguel,2.0,N,3.0,Educativo,A,3000.0,6.03,0.0,0.1
oBWMBnS2-sh8l,X3IL7kNS-G083,olEjeA94-42JJ,24.0,100000.0,Hipoteca,1.0,N,2.0,Educativo,B,6600.0,9.91,0.0,0.07
n4r90KdI-dzd9,XCEX2jGT-JlyO,OK5nEfdQ-ENcf,27.0,45000.0,Aluguel,4.0,N,8.0,Médico,C,7500.0,15.27,0.0,0.17
hIKYKaQW-mOC3,lAiqN6Ab-TG9W,Inol3G2r-BLPr,49.0,15000.0,Aluguel,6.0,N,17.0,Educativo,B,2400.0,9.91,1.0,0.16
adAFikKJ-jswx,tGzK51wr-Od1N,YyfsgKqz-F8g5,22.0,66500.0,Aluguel,0.0,S,2.0,Empreendimento,D,10000.0,14.11,1.0,0.15
7iNFkUtE-7cmD,j4IhE1rF-PvfC,8brlGZWy-BU80,43.0,50000.0,Própria,3.0,S,12.0,Médico,C,5000.0,13.35,0.0,0.1
ny7QyTBh-yD9r,7BlsbFRB-tdlp,PiBNlENh-Cjkl,27.0,64000.0,Aluguel,0.0,S,10.0,Pessoal,C,10000.0,15.27,0.0,0.16
mzU9wrnn-FBiJ,sGx5a3Jm-5f9w,KZOpLbD0-3aHk,28.0,128000.0,Hipoteca,11.0,S,8.0,Pagamento de débitos,G,14400.0,22.11,1.0,0.11
taMkuSyj-AtvW,g0TkLQda-EiZf,NHRKXFH9-712H,23.0,97600.0,Hipoteca,7.0,N,2.0,Médico,A,14500.0,7.51,0.0,0.15
2mljEXiA-2x63,glaRJiIB-x0N5,sB454UMl-qCt3,26.0,75000.0,Hipoteca,10.0,N,4.0,Pessoal,C,10000.0,13.49,0.0,0.13
9aQgXzrm-wxfv,2yto0ACs-Pfrf,Tuxcg0WJ-bksC,21.0,24000.0,Aluguel,,N,3.0,Educativo,B,3600.0,11.99,0.0,0.15
ARRZ7Uop-MBe3,y5tdJPmw-9WfF,YednFSHv-uShd,27.0,105000.0,Hipoteca,11.0,N,7.0,Educativo,A,28000.0,,0.0,0.27
mKrzI03Q-Yb4p,GuKFmSGh-LMPx,BjOgm6fr-PZaC,24.0,105996.0,Hipoteca,7.0,N,3.0,Médico,A,3000.0,7.51,0.0,0.03
SCAiAJWv-RExb,7HzGT9fK-zX8o,dKUGbGGk-wKJm,23.0,22800.0,Aluguel,3.0,S,2.0,Pessoal,D,1750.0,15.7,1.0,0.08
hjNIIKii-5aq6,6pq5ghkz-Qpup,50CWY36v-H7hF,29.0,25400.0,Aluguel,1.0,S,5.0,Educativo,D,7500.0,14.59,1.0,0.3
0gsWPdzk-dnko,z6YXQZvM-7cRw,jRjlyNbD-AsTR,23.0,120000.0,Hipoteca,7.0,N,3.0,Empreendimento,B,4400.0,11.71,0.0,0.04
Im4UHxPp-eaLG,U116i3y4-paQb,4LtCMFJc-A5vE,28.0,70000.0,Hipoteca,12.0,N,7.0,Pagamento de débitos,A,9000.0,5.42,1.0,0.13
T6k1OsLg-sjA8,15QMMwsM-i56N,HanXegLg-c2Ks,22.0,63000.0,Hipoteca,6.0,N,4.0,Empreendimento,A,8400.0,7.29,0.0,0.13
mralfCad-pvke,yhjn42kh-l7f6,nFuOUbzq-fLLm,22.0,77000.0,Hipoteca,6.0,N,4.0,Médico,A,12400.0,7.51,0.0,0.16
eXcqFXYQ-Bi1R,Sjsc3wCr-Dx6O,sIImWXfd-rB4Z,22.0,29361.0,Aluguel,4.0,N,3.0,Melhora do lar,B,6450.0,,1.0,0.22
mWbzPZzo-WmQi,dUue1W9J-x4AL,sMJZ8r2k-kUaG,22.0,27376.0,Aluguel,0.0,N,3.0,Educativo,C,10000.0,10.28,1.0,0.37
CQfWG65x-x3zX,yP0OC2qE-aHrx,4AjxHXse-1Nf6,22.0,39000.0,Aluguel,6.0,S,2.0,Melhora do lar,C,6000.0,13.22,1.0,0.15
swLnXwfd-jGjF,IGRGW1ZP-H1Tu,M4dYw5Ku-3Mtc,,265000.0,Hipoteca,2.0,N,6.0,,B,3000.0,10.99,1.0,0.23
5fJMS6P5-rUYz,zbaRKb3F-4AnE,OU3veo5g-mziX,22.0,37200.0,Aluguel,0.0,N,2.0,Empreendimento,E,13000.0,16.0,1.0,0.35
a1vIBWtm-Kh4c,bNAAAmJp-SXPU,z1ULKCFZ-r3ts,30.0,106000.0,Hipoteca,11.0,N,9.0,Empreendimento,F,10000.0,,0.0,0.09
6ffXxPft-Mgw3,tu7PKWjj-GsCX,lyh1jQWH-0CnA,,70000.0,Aluguel,3.0,N,10.0,Pessoal,B,6000.0,7.68,,0.08
igatxfxY-7Ynv,nwsMBYXe-plkg,DjZRrkGU-NMYH,27.0,100000.0,Própria,5.0,S,10.0,Empreendimento,A,11000.0,,0.0,0.04
XaWXlISe-hykr,yl4CgfK9-D9jt,OejQcyyb-TvNM,26.0,88000.0,Hipoteca,10.0,N,2.0,Educativo,A,10000.0,7.88,0.0,0.11
hJL7jshj-RXs4,Eq1kDp4Q-jS1N,ArnRXUTn-Cp9s,25.0,28500.0,Aluguel,0.0,N,3.0,Médico,B,8500.0,11.14,0.0,0.3
fjkaQkE7-0EjP,BckRFuEf-A5Uc,ji0TzNHo-3wpu,44.0,175000.0,Hipoteca,9.0,N,17.0,Melhora do lar,A,15000.0,7.66,0.0,0.09
FoI295uv-6BJD,OjZ4EKUZ-arUY,lId5NoF1-tbSL,28.0,50000.0,Aluguel,5.0,N,10.0,Pessoal,C,12000.0,13.11,0.0,0.24
mHlap7S4-eaPY,AviHPSlJ-7FT0,lm1AT4li-KA8O,39.0,48000.0,Aluguel,0.0,N,16.0,Empreendimento,C,10000.0,13.22,0.0,0.21
1KTpm2Fb-HWqA,6iYGmi6G-Y2Kt,XYERxN9X-XQzG,27.0,75905.0,Própria,0.0,N,8.0,Médico,F,18000.0,17.26,1.0,0.2
Geysv7uu-ulex,9kn6DbLD-5kdv,FG4cNrq1-451I,27.0,37000.0,Própria,3.0,N,6.0,Médico,B,5000.0,9.91,0.0,0.14
0fvNJ24a-9X4J,vmPHTOD3-UFb2,SRDId0Bh-IML0,21.0,36000.0,Aluguel,3.0,N,4.0,Melhora do lar,B,11000.0,10.37,1.0,0.31
5FFGR9uq-PRW6,ttto7avA-fqWs,hTrX8y0v-dLD1,23.0,55000.0,Aluguel,0.0,N,4.0,Pessoal,B,5500.0,11.71,0.0,0.1
6uQopa1f-E6PS,LiJyCmWE-pfm4,Si8a88B6-cDyN,26.0,50000.0,Própria,8.0,S,4.0,Pessoal,C,4200.0,12.99,0.0,0.08
Wep9qx6P-fAKE,RTk9PTZH-2h38,G96wc0Gr-lgOq,24.0,44000.0,Aluguel,0.0,N,4.0,Pessoal,A,2000.0,8.0,1.0,0.05
1W4cm6By-3ASN,A7egI5uY-dAJ3,OxmoKJvn-DsjI,25.0,30000.0,Própria,9.0,S,3.0,Pagamento de débitos,E,1200.0,16.69,1.0,0.04
LNFYgkaa-tfEk,UhpLeZWi-tTLz,sZvDNexH-WQIg,23.0,77200.0,Hipoteca,4.0,N,2.0,Educativo,C,22000.0,13.23,1.0,0.28
RHm8z4CH-dNQ9,uWPPLBrD-2av2,FvMmMcfx-HjWy,30.0,11292.0,Aluguel,,N,6.0,Médico,A,2100.0,6.76,1.0,0.19
1ap5xb7I-1F5h,KgnEUBgu-FGwx,6qrZOwvn-qeSN,31.0,62000.0,Hipoteca,4.0,N,10.0,Médico,A,6550.0,5.79,0.0,0.11
LoFaXAou-i0zB,BRL3HI85-Jy7U,Mn3QaC8I-ilNn,30.0,48996.0,Aluguel,1.0,N,5.0,Melhora do lar,E,10000.0,15.45,1.0,0.2
6lLfUNwo-tU8d,Su9Wq7y4-WXCn,oJyUuuNy-pEh7,39.0,27040.0,Hipoteca,0.0,N,13.0,Pagamento de débitos,A,4800.0,8.59,0.0,0.18
fp1CEbsu-3lX6,Th8fzf7m-Bc9C,traHMMPe-Py3C,27.0,64800.0,Aluguel,3.0,N,10.0,Empreendimento,C,8000.0,13.49,0.0,0.12
NXwYSbbu-uYKp,3snOyqWj-JaC6,GgorZgwE-LHav,35.0,34000.0,Aluguel,0.0,S,6.0,Pagamento de débitos,E,5000.0,15.45,1.0,0.15
7jxqJIuP-I1OS,NDJXG9sO-ddFT,h061JUJS-ssbb,26.0,27000.0,Hipoteca,,N,3.0,Pagamento de débitos,A,3000.0,5.79,0.0,0.11
77a52n1S-5cj5,ex2cUSz0-EsKk,58HP2X9p-onDm,24.0,54000.0,Aluguel,8.0,S,2.0,Médico,C,1500.0,14.17,0.0,0.03
dpHIN937-3HXy,wUuBEXEA-bWUq,q6DigsiI-yD1s,22.0,37000.0,Hipoteca,7.0,N,2.0,Médico,B,3600.0,11.71,0.0,0.1
yKgqL4MC-ciDp,lrDqxt2M-xqfX,xrWpOlCb-ET5Z,22.0,52500.0,Aluguel,1.0,N,3.0,Médico,B,16000.0,12.69,1.0,0.3
0XBx5wr8-quvy,dwFrcNAB-z79G,vapxtvmh-Orfj,33.0,64000.0,Hipoteca,3.0,N,5.0,Empreendimento,A,8800.0,7.49,0.0,0.14
7hvCwMA9-oLTM,vOOSyiJC-DDpF,Dhh0EUUm-99Zz,33.0,81000.0,Própria,4.0,N,8.0,Pessoal,A,12000.0,6.17,0.0,0.15
mkEtbMDJ-T2tE,cLIMKsmN-e77Z,naMZOaD1-AJDp,24.0,123000.0,Aluguel,8.0,N,4.0,Pessoal,D,15000.0,15.37,1.0,0.12
XbFKnZg6-TrET,kUKxGYbG-8nlR,TG5z14rK-vHFr,25.0,58000.0,Hipoteca,5.0,N,4.0,Educativo,A,3150.0,6.17,0.0,0.05
Z5DTefQc-DX5E,AjqjpJvF-jsOJ,aZWSI4Wj-uG1d,28.0,160000.0,Hipoteca,4.0,N,7.0,Pagamento de débitos,B,34000.0,9.91,0.0,0.21
trwiRyci-LXtQ,NtgXLM0N-lSbS,YWEEROgW-WtUh,27.0,45600.0,Hipoteca,6.0,N,5.0,Pagamento de débitos,A,3000.0,6.99,0.0,0.07
ObFHX0Of-7xYb,L58HzYEF-OsNR,UCzv7dPw-4Rd4,26.0,120000.0,Hipoteca,5.0,N,2.0,Empreendimento,B,13000.0,10.99,0.0,0.11
xoz8ax2F-spbC,YxtbPJqi-maqh,dEH81Q9T-sclS,21.0,57000.0,Própria,5.0,N,3.0,Pessoal,B,8000.0,10.65,0.0,0.14
dPL1r2d2-LOGu,IYu6E8Qn-7rQ2,loEGx64X-sRPM,25.0,90000.0,Hipoteca,7.0,N,3.0,Empreendimento,A,11000.0,9.32,0.0,0.12
nNFD4g9k-qS30,txFLZC2A-rprG,W4v4oe1U-umCA,25.0,84000.0,Hipoteca,9.0,N,3.0,Pagamento de débitos,D,5000.0,16.02,1.0,0.06
7SHLBxaa-4GOS,1OuapxIi-8mo7,qtKcYggT-6Ehc,22.0,74000.0,Aluguel,6.0,N,3.0,Pessoal,B,12600.0,10.65,0.0,0.17
juUkwgv8-YfHa,ytQE1MO9-5i2J,rCU2jxkM-Mfkq,26.0,38000.0,Hipoteca,1.0,N,3.0,Melhora do lar,A,4000.0,,0.0,0.11
xwzTnOzl-822x,wtGZM8kX-vuih,iSeMBfLE-ps47,23.0,28000.0,Aluguel,0.0,N,2.0,Educativo,A,8700.0,6.03,1.0,0.31
Ge475RBL-tUyC,wuInKR7Q-uoLP,6k0HldTC-bxpW,38.0,34800.0,Hipoteca,2.0,N,16.0,Pessoal,A,6250.0,7.49,0.0,0.18
8WwaJD0O-kNOI,Fffmi6P6-dSy5,0W5kKad7-OKHW,26.0,90000.0,Aluguel,0.0,N,4.0,Educativo,B,5525.0,11.36,0.0,0.06
acRUqtpp-ZHg5,XaDKBg6I-W2J3,YNvzLhXk-5zPo,21.0,27996.0,Aluguel,2.0,N,2.0,Empreendimento,B,14075.0,,1.0,0.5
0WvJ5JUX-424T,Ug3BGs3D-ERr6,3SbuU7Bz-Xhwe,26.0,52000.0,Hipoteca,10.0,N,2.0,Melhora do lar,B,10750.0,9.62,0.0,0.21
r8fCxahT-028K,AvGafyJk-vbAz,z3A5KaWh-I8Ei,22.0,57160.0,Aluguel,2.0,N,3.0,Médico,B,1500.0,11.36,0.0,0.03
SpM03wsj-50hH,xmfjPUnD-nJ48,s1IZIdHt-jfC8,24.0,100000.0,Aluguel,1.0,N,2.0,Empreendimento,B,15000.0,11.89,0.0,0.15
vNS03WsG-e4FZ,JCbxnRPB-c1IC,RCSMEaAn-3Lda,25.0,33000.0,Aluguel,3.0,N,3.0,Pessoal,A,9000.0,5.79,0.0,0.27
T6HpO75J-CXwB,8UhHfrHc-Y3kd,KL690zTU-YpZA,22.0,50000.0,Própria,2.0,N,2.0,Educativo,B,5600.0,11.86,0.0,0.11
P5Ut54Ie-CPj1,73Ssm1YN-wZJY,wbZfphIk-kS3T,31.0,42500.0,Aluguel,3.0,N,10.0,Médico,A,6500.0,7.29,0.0,0.15
yRzMvz4r-sS5i,KGhYrisB-yOp4,x5DfQx2l-6Yvd,22.0,62236.0,Própria,,N,4.0,Médico,B,5000.0,9.99,0.0,0.08
sCRzwFnX-O7Fk,s2rrvdbX-dPkn,euYhUFIw-M4xQ,24.0,45000.0,Aluguel,5.0,N,3.0,Educativo,A,1000.0,7.4,0.0,0.02
Ke3nGp32-Xzq9,FfH1Fv7w-MYBH,tF4tdrqJ-Yftp,29.0,73000.0,Aluguel,2.0,N,7.0,Melhora do lar,A,8000.0,7.4,0.0,0.11
tGQ3KlA4-fD7F,szhUbEAJ-bIya,eMQeMxiR-HyYb,21.0,21600.0,Hipoteca,6.0,N,3.0,Pessoal,A,7575.0,,0.0,0.35
FMi63rfK-ezrk,1JihMcmo-3Lox,GKx3q06g-3K8r,22.0,125004.0,Hipoteca,6.0,N,2.0,Educativo,A,30000.0,7.9,0.0,0.24
UgYxhYcW-pHdW,0AxFOJwe-59nI,sjWwxIo9-Q8B3,28.0,56461.0,Aluguel,5.0,S,6.0,Educativo,E,5400.0,15.68,0.0,0.1
RXSiJkOM-WAGK,BNPYNLAa-YQca,eK4OYKHD-bzWA,28.0,24000.0,Aluguel,5.0,S,10.0,Médico,D,16750.0,14.96,1.0,0.7
u8Ae2wD0-gTuO,sLKXNCS1-5h5z,OPPNRKYM-PBuG,46.0,87000.0,Hipoteca,1.0,N,17.0,Pessoal,C,20000.0,12.41,0.0,0.23
vm0do0uR-baud,e4PmtJMj-NDnh,LHENJENF-CjID,33.0,65000.0,Hipoteca,4.0,N,6.0,Melhora do lar,B,16800.0,9.76,0.0,0.26
dxZuEH1X-fed3,LgkShATq-8Y8Y,xrTjQ5Iq-n9au,22.0,25200.0,Hipoteca,7.0,N,2.0,Médico,C,4000.0,12.73,1.0,0.16
omvotzyr-7vFg,Q4Dxgw0M-MRwU,iwo6LiQr-62AG,29.0,60000.0,Aluguel,13.0,N,7.0,Pessoal,C,2075.0,15.23,0.0,0.03
2pCIfO9E-WiqO,uKlIwDEg-dBag,FQ4Zg0Mu-9Jeo,24.0,59000.0,Própria,2.0,S,2.0,Médico,E,12000.0,17.74,1.0,0.2
Y46E8Fbk-jaO6,ZzehDOFD-GSE0,8IKuNGAt-OU2j,23.0,74706.0,Aluguel,4.0,N,3.0,Pagamento de débitos,B,12000.0,11.58,0.0,0.16
6gvOO6D9-9BTA,MzJKNDvx-drdh,PjpNEwIY-6Muq,47.0,56004.0,Aluguel,2.0,N,11.0,Empreendimento,B,10800.0,10.36,0.0,0.19
8j1LzwLF-SbtZ,UF2uAE8q-A2XL,k0akHwJO-Q8Wl,21.0,39900.0,Aluguel,3.0,N,2.0,Educativo,B,6000.0,11.49,0.0,0.15
DNXm1iWv-E6qh,Gbh8uB8k-yMNk,YCzqRPqf-xYW0,22.0,60000.0,Hipoteca,6.0,N,4.0,Empreendimento,A,11200.0,5.79,0.0,0.19
m8QyIP6E-xMSC,khE0Kpcb-nt6n,qzCtzhvc-lKzC,32.0,95000.0,Hipoteca,5.0,N,8.0,Empreendimento,B,4800.0,10.99,0.0,0.05
2UvSIamv-JTAP,UmiuPqWU-jhc8,DlFgSdEK-oL76,42.0,125000.0,Hipoteca,5.0,N,17.0,Empreendimento,A,35000.0,7.9,0.0,0.28
PPsmlege-KH2d,ijhBButK-8trd,bE6ePNKh-dZbg,25.0,103000.0,Hipoteca,4.0,N,2.0,Pessoal,A,29175.0,,0.0,0.28
qOlBPR3H-mwmO,pHDQTrn1-xvba,Chhxw3Qj-Fusr,22.0,28000.0,Aluguel,0.0,N,3.0,Médico,B,1200.0,12.69,0.0,0.04
T48GmweD-9Xw3,U6085WTN-lvzW,u2kCYoc0-Rfuo,32.0,30000.0,Aluguel,3.0,S,9.0,Médico,D,3600.0,14.11,1.0,0.12
WMXQvi5A-mTnN,cDIOQww7-ZMy3,9ovQ7ACx-7Nqo,24.0,37000.0,Hipoteca,4.0,N,2.0,Médico,B,25000.0,10.08,0.0,0.68
RZMDzl7o-RfT6,rScfgm2Y-0o0B,59mhzCGj-sEsf,30.0,29004.0,Própria,6.0,N,8.0,Melhora do lar,C,6250.0,,0.0,0.22
DwrPCfo8-YyIj,7TYrk4OI-wm7j,EG7PFy6C-Skl6,25.0,96500.0,Hipoteca,0.0,N,2.0,Pessoal,A,10000.0,6.17,0.0,0.1
fMmSvBit-n2Jb,SSy3SFtL-lMe6,TBf8T97X-GcaJ,30.0,120000.0,Hipoteca,6.0,N,9.0,Médico,A,9600.0,7.66,0.0,0.08
ntj6agli-rMCa,2X328DU3-9ijN,nEQ4KCX8-8fAj,23.0,21600.0,Aluguel,2.0,N,2.0,Melhora do lar,D,6000.0,14.42,1.0,0.28
snhY44dx-quir,i2DnBjPo-UmTp,QYDcbyxO-DmZp,33.0,83000.0,Aluguel,5.0,N,8.0,Educativo,A,7200.0,8.0,0.0,0.09
wjQowGjY-SOSd,NcS3iX5x-RNvT,EnB5kFM5-lKBp,23.0,33600.0,Hipoteca,8.0,N,2.0,Pessoal,A,8000.0,6.99,0.0,0.24
qQEfDGFn-GxT4,Ler6Rt4S-4qCw,wtS1gx6D-Bx0U,34.0,130000.0,Hipoteca,5.0,N,10.0,Pagamento de débitos,B,20000.0,10.65,0.0,0.15
nd5Wz0jc-6pLx,KdZzbmEf-fwR3,0FU5TD1K-k4N5,36.0,84695.0,Aluguel,2.0,N,14.0,Médico,A,12000.0,7.29,0.0,0.14
KfShHb6K-FeLk,cUTUqOdK-TzdM,QalY88X3-6bTF,27.0,26400.0,Hipoteca,6.0,N,9.0,Médico,A,6000.0,6.91,1.0,0.23
TYNIDnSt-qg1Z,G8yqvnFE-5ilK,zsXIGde1-EaL3,25.0,93000.0,Hipoteca,1.0,N,2.0,Empreendimento,A,12000.0,6.62,0.0,0.13
7r1xZiG4-uiTb,zbNDxXme-U40I,MCJu5jNu-Lhbk,28.0,48000.0,Hipoteca,13.0,S,5.0,Pessoal,C,5000.0,15.27,1.0,0.1
Ux7DLbU4-YE5N,ZdlN766D-xYLF,n7ieW0Ee-BxhC,22.0,59000.0,Aluguel,2.0,N,3.0,Educativo,B,6500.0,10.95,0.0,0.11
5H4AlZWb-k953,0tmH82ts-ONvP,it5StO7t-GYjY,23.0,11000.0,Própria,0.0,N,3.0,Pessoal,A,1400.0,9.32,0.0,0.13
FNIZzKoJ-G7M5,D9KNBHXF-z6hu,JIpPDcKF-dTf1,34.0,25800.0,Própria,18.0,N,9.0,Educativo,A,10000.0,8.94,0.0,0.39
qAgBuaAn-EjHi,xyCR3ZGB-DoNe,ZQ98TAL8-8nLv,31.0,45000.0,Hipoteca,12.0,S,10.0,Pagamento de débitos,C,12250.0,14.27,0.0,0.27
4DY6gGeK-iBRQ,IhDrz8yY-kmKt,mf14wOuC-m2rA,23.0,45000.0,Aluguel,0.0,N,4.0,Empreendimento,B,4500.0,9.25,0.0,0.1
dFonQQtK-KxmN,gBkXzhB9-064D,el8Wv175-qods,30.0,150000.0,Própria,14.0,N,5.0,Pessoal,B,24000.0,11.83,0.0,0.16
O0QcxKk5-T3IC,2h1s7G2O-sBot,XTkx3Mew-7TMS,30.0,60000.0,Hipoteca,12.0,N,10.0,Pagamento de débitos,B,9600.0,9.99,0.0,0.16
tHElGIaf-w88Z,ZuSr1yfb-Azqr,tbLyT08m-3Aw5,25.0,39600.0,Hipoteca,5.0,N,4.0,Melhora do lar,B,4800.0,12.42,0.0,0.12
gsREUsWS-ZxRw,ZcDH1h4A-rc3c,iZp0L1Ih-gBJ5,31.0,30000.0,Hipoteca,5.0,N,8.0,Médico,,3100.0,11.11,,0.02
N6KScSQ9-WcZv,2xrENYlF-FZ4u,61Q0fkI5-90iE,29.0,60000.0,Aluguel,4.0,N,5.0,Empreendimento,B,8000.0,11.14,0.0,0.13
Mkvt2kUP-QNE9,TdCIRBHx-6FAO,k9lmnHPz-cCPb,23.0,27500.0,Hipoteca,7.0,N,3.0,Educativo,B,6300.0,,0.0,0.23
JmBMwBgt-pBFQ,uB5Q4k5O-XfNj,IltvEXLE-24tY,23.0,26000.0,Hipoteca,7.0,N,2.0,Médico,A,5000.0,7.91,0.0,0.19
qkfjgZkX-3Qbv,U1FpP2tf-dmd5,5vXWCrUr-coix,30.0,115000.0,Aluguel,7.0,N,9.0,Pagamento de débitos,B,7300.0,10.25,0.0,0.06
UmUNq5eY-qPq6,k3jqfrkY-1sLJ,Q4hgyWdk-ZbuC,38.0,90000.0,Hipoteca,1.0,N,16.0,Pagamento de débitos,A,7000.0,6.99,0.0,0.08
NTKBbCuw-HEWx,rMSl6u3z-TcxK,qJymT9hO-Cvzc,37.0,40000.0,Própria,16.0,N,12.0,Melhora do lar,B,5000.0,,0.0,0.13
4GzJq34e-OCpX,wxXQ5Y7E-o3D6,2gkRq9Fu-ZyAo,22.0,50000.0,Aluguel,1.0,N,4.0,Pessoal,A,7500.0,8.32,0.0,0.15
dSqaE3Rn-vdWK,OmIl6X9O-uZJt,0Xd7vtBl-Qfzp,25.0,85000.0,Aluguel,7.0,N,2.0,Médico,E,20000.0,17.39,1.0,0.2
HDvz7TZl-M9mX,wFrh878X-LqjB,DcqQiici-qqil,22.0,63000.0,Aluguel,2.0,N,3.0,Educativo,B,12500.0,10.25,0.0,0.2
8tyoFlHU-LM7Q,6dMQhYn8-rh2e,zi2qwG4G-BAbj,26.0,100840.0,Aluguel,10.0,N,3.0,Pagamento de débitos,B,7000.0,9.99,0.0,0.07
CWrDJjoH-Sb79,CTyqZI24-ejuL,iQLlNo5f-z5EE,24.0,47480.0,Aluguel,8.0,N,2.0,Médico,B,6900.0,9.88,0.0,0.15
qTk4JWuS-Dklg,0isnP2Im-bDzb,kx2F8H9n-zctg,33.0,106000.0,Hipoteca,2.0,N,8.0,Educativo,A,6000.0,8.49,0.0,0.06
WJepltsq-xCRQ,JMl6RDfI-D2I3,ffQE7FZe-5GlJ,26.0,25300.0,Aluguel,2.0,S,2.0,Melhora do lar,D,5400.0,16.02,1.0,0.21
rGfeMwwe-y81M,Kka48WZu-ztv2,Beky3hfZ-SwxI,28.0,62000.0,Aluguel,2.0,S,5.0,Médico,C,12800.0,13.16,0.0,0.21
sYPD0Bek-t0vP,cLYbPCcU-IBOz,h7H45Weh-FvA9,31.0,37681.0,Aluguel,16.0,N,7.0,Pagamento de débitos,B,8000.0,10.99,0.0,0.21
WSridEfD-rsmT,FpyQDffU-XAYg,DocX7159-ENr6,28.0,54400.0,Hipoteca,6.0,N,8.0,Médico,D,5000.0,16.07,1.0,0.08
vAa2FKSy-G3rr,5Bw7Rqwc-Jxzu,3rBB9zI7-FvtD,26.0,30000.0,Aluguel,0.0,S,2.0,Pagamento de débitos,D,6000.0,,1.0,0.2
